Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1479.0,76609.0,14.293,30951.0,Hyundai,3484.0,petrol,42174.0,75.4,Accent,4.6
1864.8,70791.0,11.7129,11799.0,Ford,804.0,petrol,58188.0,69.0,Capri,4.0
1518.0,70772.0,11.370625,24197.0,Skoda,2690.0,petrol,43885.0,48.0,Felicia,5.0
1615.333333,70246.0,17.22277778,25578.0,Fiat,2677.0,petrol,41991.0,70.0,Brava,4.888888889
1528.807692,70042.0,32.98557692,24181.0,Volkswagen,4531.0,diesel,41330.0,94.03846154,Touran,6.230769231
1475.0,70001.0,33.25025,48750.0,Volkswagen,4776.0,petrol,16475.0,112.75,Beetle,6.166666667
998.0,67730.0,22.95871429,28881.0,Kia,2239.0,petrol,36610.0,80.0,Rio,6.285714286
3041.0,63691.0,72.79589474,18779.0,Mercedes,3573.0,petrol,41339.0,166.3157895,CLK,6.210526316
999.0,62415.0,28.23090909,32045.0,Nissan,5707.0,petrol,24663.0,86.0,Juke,6.454545455
1446.125,62046.0,23.585,19984.0,Fiat,1928.0,diesel,40134.0,80.8125,Tipo,5.8125
1424.857143,61175.0,13.63642857,31727.0,Hyundai,2292.0,petrol,27156.0,69.0,Getz,4.714285714
1460.795455,59685.0,26.97522727,20296.0,Kia,1991.0,petrol,37398.0,88.09090909,Ceed,5.863636364
1335.0,58848.0,6.050333333,17726.0,Triumph,1085.0,petrol,40037.0,52.0,Acclaim,4.333333333
1452.0,56357.0,27.4386,16005.0,Citroen,2902.0,diesel,37450.0,85.28,Berlingo,6.34
996.0,56169.0,9.5628,30777.0,Suzuki,4330.0,petrol,21062.0,50.0,Alto,4.6
2813.0,55931.0,137.5695455,5289.0,Jaguar,2031.0,petrol,48611.0,223.5454545,XJ,8.0
1861.833333,54786.0,31.5255,15104.0,Toyota,2863.0,petrol,36819.0,109.6666667,Celica,5.166666667
2748.333333,53959.0,61.86283333,25424.0,Mercedes,3794.0,petrol,24741.0,184.1666667,SLK,6.833333333
2876.0,52160.0,77.41666667,13819.0,Mercedes,3081.0,diesel,35260.0,188.3333333,ML,7.0
1634.2,51834.0,43.97,17864.0,Kia,1642.0,diesel,32328.0,115.3,Sportage,6.6
1587.222222,51542.0,31.30566667,12014.0,Volkswagen,1679.0,petrol,37849.0,96.92592593,Jetta,6.259259259
1997.0,50657.0,78.74625,4860.0,Jaguar,1940.0,diesel,43857.0,176.25,XF,8.0
935.625,50468.0,30.3775,29639.0,Ford,2914.0,petrol,17915.0,94.0625,Puma,6.3125
1377.566265,49791.0,27.08277108,29771.0,Audi,2342.0,petrol,17678.0,86.63855422,A,6.228915663
1374.046512,49760.0,17.03876744,25561.0,Mitsubishi,2798.0,petrol,21401.0,73.48837209,Colt,5.302325581
1757.6,49260.0,30.5976,8437.0,Subaru,1885.0,petrol,38938.0,97.6,Impreza,1.8
1729.333333,48479.0,21.02333333,18426.0,MG,1672.0,petrol,28381.0,92.33333333,ZR,5.0
1798.0,47533.0,59.0,12105.0,Renault,2529.0,petrol,32899.0,166.0,Espace,7.0
1891.588235,47383.0,25.39952941,10827.0,Volkswagen,2286.0,petrol,34270.0,78.85294118,Bora,4.647058824
